,Corruption,Country,Dystopia_Residual,Freedom,GDP_per_Capita,Generosity,Happiness_Score,Life_Expectancy,Social_Support,year,Region
0,0.41978000000000004,Switzerland,2.5173799999999997,0.66557,1.3965100000000001,0.29678000000000004,7.587000000000001,0.9414299999999999,1.34951,2015-01-01,Western Europe
1,0.41203,Switzerland,2.69463,0.58557,1.5273299999999999,0.28083,7.5089999999999995,0.86303,1.14524,2016-01-01,Western Europe
2,0.36700728535652205,Switzerland,2.2767162322998,0.620070576667786,1.5649795532226598,0.29054927825927696,7.49399995803833,0.858131289482117,1.51691174507141,2017-01-01,Western Europe
3,0.35700000000000004,Switzerland,2.3179999999999996,0.66,1.42,0.256,7.487,0.927,1.5490000000000002,2018-01-01,Western Europe
4,0.34299999999999997,Switzerland,2.272000000000001,0.5720000000000001,1.452,0.263,7.48,1.052,1.526,2019-01-01,Western Europe
5,0.14145,Iceland,2.70201,0.6287699999999999,1.3023200000000001,0.4363,7.561,0.94784,1.4022299999999999,2015-01-01,Western Europe
6,0.14975,Iceland,2.83137,0.56624,1.42666,0.47678000000000004,7.501,0.8673299999999999,1.18326,2016-01-01,Western Europe
7,0.15352655947208402,Iceland,2.32271528244019,0.6271626353263849,1.480633020401,0.47554022073745705,7.50400018692017,0.8335521221160892,1.6105740070343,2017-01-01,Western Europe
8,0.138,Iceland,2.426,0.677,1.3430000000000002,0.353,7.495,0.914,1.6440000000000001,2018-01-01,Western Europe
9,0.11800000000000001,Iceland,2.400999999999999,0.591,1.38,0.354,7.494,1.026,1.624,2019-01-01,Western Europe
10,0.48357,Denmark,2.4920400000000003,0.6493800000000001,1.32548,0.34139,7.527,0.87464,1.36058,2015-01-01,Western Europe
11,0.44453000000000004,Denmark,2.73939,0.5794100000000001,1.4417799999999998,0.36171,7.526,0.79504,1.16374,2016-01-01,Western Europe
12,0.40077006816863997,Denmark,2.31370735168457,0.626006722450256,1.48238301277161,0.3552804887294771,7.52199983596802,0.7925655245780941,1.55112159252167,2017-01-01,Western Europe
13,0.408,Denmark,2.3709999999999996,0.6829999999999999,1.351,0.284,7.555,0.868,1.59,2018-01-01,Western Europe
14,0.41,Denmark,2.3939999999999992,0.5920000000000001,1.383,0.252,7.6,0.996,1.5730000000000002,2019-01-01,Western Europe
15,0.36503,Norway,2.4653099999999997,0.66973,1.459,0.34699,7.522,0.88521,1.33095,2015-01-01,Western Europe
16,0.35775999999999997,Norway,2.66465,0.59609,1.57744,0.37895,7.497999999999999,0.79579,1.1269,2016-01-01,Western Europe
17,0.31596383452415505,Norway,2.27702665328979,0.635422587394714,1.6164631843566901,0.36201223731041,7.537000179290769,0.796666502952576,1.53352355957031,2017-01-01,Western Europe
18,0.34,Norway,2.382999999999999,0.6859999999999999,1.456,0.28600000000000003,7.593999999999999,0.861,1.5819999999999999,2018-01-01,Western Europe
19,0.341,Norway,2.2409999999999988,0.603,1.4880000000000002,0.271,7.553999999999999,1.028,1.5819999999999999,2019-01-01,Western Europe
20,0.32957,Canada,2.4517599999999997,0.63297,1.32629,0.45811,7.4270000000000005,0.9056299999999999,1.32261,2015-01-01,North America
21,0.31329,Canada,2.70485,0.5737,1.44015,0.44833999999999996,7.404,0.8276,1.0961,2016-01-01,North America
22,0.287371516227722,Canada,2.18726444244385,0.611100912094116,1.47920441627502,0.435539722442627,7.31599998474121,0.83455765247345,1.48134899139404,2017-01-01,North America
23,0.29100000000000004,Canada,2.3049999999999997,0.653,1.33,0.321,7.327999999999999,0.8959999999999999,1.5319999999999998,2018-01-01,North America
24,0.308,Canada,2.1919999999999993,0.584,1.365,0.285,7.278,1.0390000000000001,1.505,2019-01-01,North America
25,0.41372,Finland,2.61955,0.64169,1.29025,0.23351,7.406000000000001,0.8891100000000001,1.31826,2015-01-01,Western Europe
26,0.41003999999999996,Finland,2.82596,0.57104,1.40598,0.25492,7.412999999999999,0.81091,1.1346399999999999,2016-01-01,Western Europe
27,0.38261154294014,Finland,2.4301815032958998,0.6179508566856379,1.44357192516327,0.24548277258873,7.468999862670901,0.80915766954422,1.5402467250824,2017-01-01,Western Europe
28,0.39299999999999996,Finland,2.585000000000001,0.6809999999999999,1.305,0.20199999999999999,7.632000000000001,0.8740000000000001,1.5919999999999999,2018-01-01,Western Europe
29,0.39299999999999996,Finland,2.7140000000000004,0.596,1.34,0.153,7.769,0.986,1.587,2019-01-01,Western Europe
30,0.31814000000000003,Netherlands,2.4657,0.6157600000000001,1.32944,0.4761,7.377999999999999,0.89284,1.28017,2015-01-01,Western Europe
31,0.29927,Netherlands,2.70749,0.55211,1.46468,0.47416,7.3389999999999995,0.8123100000000001,1.02912,2016-01-01,Western Europe
32,0.282661825418472,Netherlands,2.29480409622192,0.5853844881057739,1.50394463539124,0.47048982977867104,7.3769998550415,0.8106961250305179,1.42893922328949,2017-01-01,Western Europe
33,0.295,Netherlands,2.4479999999999995,0.638,1.361,0.33299999999999996,7.441,0.878,1.4880000000000002,2018-01-01,Western Europe
34,0.298,Netherlands,2.3939999999999992,0.557,1.396,0.322,7.4879999999999995,0.9990000000000001,1.5219999999999998,2019-01-01,Western Europe
35,0.43843999999999994,Sweden,2.3711900000000004,0.6598,1.33171,0.36262,7.364,0.9108700000000001,1.2890700000000002,2015-01-01,Western Europe
36,0.40867,Sweden,2.54734,0.58218,1.45181,0.38254,7.291,0.83121,1.08764,2016-01-01,Western Europe
37,0.384398728609085,Sweden,2.09753799438477,0.612924098968506,1.49438726902008,0.38539925217628496,7.28399991989136,0.830875158309937,1.47816216945648,2017-01-01,Western Europe
